observation,marker,gpu_ns,gpu_sample_count
29,VSM.UnityCompatibilityRaster,0,0
29,VSM.Resolve,4787968,1
29,VSM.ResolveTrace,4652544,1
29,VSM.FilterHorizontal,62720,1
29,VSM.FilterVertical,0,0
29,VSM.FilterTemporalVertical,71168,1
29,VSM.ResetFeedback,2048,1
30,VSM.MarkReceiverPages,957952,1
30,VSM.Allocate,2123264,1
30,VSM.ClearPhysicalPages,266496,1
30,VSM.PageOccupancy,61696,1
30,VSM.FinalizePages,1792,1
30,VSM.DynamicRaster,13824,1
30,VSM.LayoutRemap,2304,1
30,VSM.InvalidateStatic,2048,1
30,VSM.StaticCasterCull,128512,1
30,VSM.DynamicCasterCull,0,1
30,VSM.PageCull,109056,1
30,VSM.StaticRasterClear,0,1
30,VSM.StaticRasterDraw,4818688,1
30,VSM.DynamicRasterClear,13824,1
30,VSM.DynamicRasterDraw,0,1
30,VSM.StaticRaster,4818944,1
30,VSM.UnityCompatibilityRaster,0,0
30,VSM.Resolve,5082624,1
