id,scene,resolution,budget,cap,rays,old_fp,new_fp,old_fn,new_fn,changed,new_mean_reads
132,thin_sheet,128,8,1,12480,0,0,0,0,0,7.330849358974359
138,thin_sheet,256,4,1,12480,0,0,0,0,0,7.99463141025641
141,thin_sheet,256,8,1,12480,0,0,0,0,0,9.532532051282052
148,thin_sheet,512,4,1,12480,6,0,0,3,9,9.597435897435897
149,thin_sheet,512,8,1,12480,3,0,0,3,6,12.320753205128206
154,solid_block,64,4,1,12480,0,0,234,234,0,4.832451923076923
155,solid_block,64,8,1,12480,0,0,234,234,0,5.473878205128205
160,solid_block,128,4,1,12480,0,0,216,243,27,6.45536858974359
162,solid_block,128,8,1,12480,0,0,243,243,0,7.330849358974359
168,solid_block,256,4,1,12480,0,0,246,246,0,7.99463141025641
171,solid_block,256,8,1,12480,0,0,246,246,0,9.532532051282052
178,solid_block,512,4,1,12480,0,0,228,237,9,9.597435897435897
179,solid_block,512,8,1,12480,0,0,231,237,6,12.320753205128206
184,contact,64,4,1,12480,0,0,0,0,0,4.43036858974359
185,contact,64,8,1,12480,0,0,0,0,0,5.0598557692307695
190,contact,128,4,1,12480,0,0,0,0,0,5.211217948717949
192,contact,128,8,1,12480,0,0,0,0,0,6.443509615384615
198,contact,256,4,1,12480,0,0,0,0,0,5.965625
201,contact,256,8,1,12480,0,0,0,0,0,7.810336538461539
208,contact,512,4,1,12480,0,0,0,0,0,6.763862179487179
209,contact,512,8,1,12480,0,0,0,0,0,9.183253205128205
218,far_sheet,64,4,1,12480,0,0,0,0,0,6.466426282051282
220,far_sheet,64,8,1,12480,0,0,0,0,0,6.741346153846154
230,far_sheet,128,4,1,12480,39,0,0,0,39,8.070272435897436
234,far_sheet,128,8,1,12480,18,0,0,0,18,9.593028846153846
246,far_sheet,256,4,1,12480,24,0,0,0,24,9.60360576923077
250,far_sheet,256,8,1,12480,9,0,0,0,9,12.374439102564102
262,far_sheet,512,4,1,12480,36,0,0,0,36,11.233173076923077
265,far_sheet,512,8,1,12480,9,0,0,0,9,15.17051282051282
272,thin_rod,64,4,1,12480,0,0,327,327,0,7.959695512820513
273,thin_rod,64,8,1,12480,0,0,327,327,0,9.25360576923077
278,thin_rod,128,4,1,12480,0,0,348,348,0,9.549198717948718
280,thin_rod,128,8,1,12480,0,0,348,348,0,12.05889423076923
286,thin_rod,256,4,1,12480,0,0,369,369,0,11.085096153846154
289,thin_rod,256,8,1,12480,0,0,369,369,0,14.833653846153846
296,thin_rod,512,4,1,12480,0,0,366,366,0,12.704246794871795
297,thin_rod,512,8,1,12480,0,0,366,366,0,17.62676282051282
302,disconnected,64,4,1,12480,600,600,0,0,0,1.2627403846153846
303,disconnected,64,8,1,12480,600,600,0,0,0,1.2911057692307693
308,disconnected,128,4,1,12480,426,426,54,54,0,2.3754807692307693
310,disconnected,128,8,1,12480,0,0,147,147,0,2.3829326923076923
316,disconnected,256,4,1,12480,390,390,93,93,0,3.598317307692308
319,disconnected,256,8,1,12480,0,0,219,219,0,3.5587339743589745
326,disconnected,512,4,1,12480,414,405,96,96,9,5.2630608974358974
327,disconnected,512,8,1,12480,30,30,93,93,0,5.37588141025641
332,overlap,64,4,1,12480,696,696,234,234,0,4.921794871794872
333,overlap,64,8,1,12480,696,696,234,234,0,5.605128205128205
338,overlap,128,4,1,12480,435,435,282,309,27,6.575961538461539
340,overlap,128,8,1,12480,0,0,393,393,0,8.14911858974359
346,overlap,256,4,1,12480,420,408,288,288,12,8.008733974358975
349,overlap,256,8,1,12480,0,0,393,393,0,10.336778846153846
356,overlap,512,4,1,12480,438,435,246,264,21,9.620913461538462
357,overlap,512,8,1,12480,21,21,234,240,6,12.73261217948718
362,sloped_sheet,64,4,1,12480,0,0,0,0,0,1.0491987179487179
363,sloped_sheet,64,8,1,12480,0,0,0,0,0,1.0491987179487179
368,sloped_sheet,128,4,1,12480,0,0,0,0,0,1.6920673076923076
370,sloped_sheet,128,8,1,12480,0,0,0,0,0,1.6918269230769232
376,sloped_sheet,256,4,1,12480,0,0,0,20,20,3.2333333333333334
379,sloped_sheet,256,8,1,12480,0,0,0,0,0,2.5919070512820515
386,sloped_sheet,512,4,1,12480,0,0,0,89,89,4.960897435897436
387,sloped_sheet,512,8,1,12480,0,0,0,15,15,4.647355769230769
392,gap_trap,64,4,1,12480,504,504,0,0,0,4.104246794871795
393,gap_trap,64,8,1,12480,504,504,0,0,0,4.660657051282051
398,gap_trap,128,4,1,12480,471,444,0,0,27,4.936458333333333
400,gap_trap,128,8,1,12480,0,0,51,51,0,6.365304487179487
406,gap_trap,256,4,1,12480,453,441,0,0,12,6.043269230769231
409,gap_trap,256,8,1,12480,15,15,60,60,0,8.018830128205128
416,gap_trap,512,4,1,12480,462,453,0,3,12,7.6506410256410255
417,gap_trap,512,8,1,12480,15,12,51,54,6,9.849198717948719
422,gap_hidden,64,4,1,12480,378,378,234,234,0,4.104246794871795
423,gap_hidden,64,8,1,12480,378,378,234,234,0,4.660657051282051
428,gap_hidden,128,4,1,12480,300,300,252,279,27,4.936458333333333
430,gap_hidden,128,8,1,12480,0,0,474,474,0,6.365304487179487
436,gap_hidden,256,4,1,12480,303,300,168,177,12,6.043269230769231
439,gap_hidden,256,8,1,12480,0,0,363,363,0,8.018830128205128
